fibreLength,fibreLengthNOR,activation,tendonLength,fibreVel,mtuLength
0.0490228,1.189296458,0.0386094,0.257916,-0.0292058,0.30365183
0.0488695,1.18557739,0.0387227,0.257858,-0.032129,0.30342953
0.0487019,1.181511402,0.0389472,0.257804,-0.0348754,0.30319563
0.0485212,1.177127608,0.0392727,0.257755,-0.0373936,0.30295293
0.0483286,1.172455119,0.0396896,0.257713,-0.0396112,0.30270462
0.0481259,1.167537603,0.0401891,0.257681,-0.0414407,0.30245424
0.0479152,1.162426007,0.0407644,0.257659,-0.0427944,0.30220556
0.0476991,1.157183406,0.0414101,0.257648,-0.0435929,0.30196257
0.0474804,1.151877729,0.0421226,0.25765,-0.0437836,0.3017293
0.0472625,1.14659146,0.0429011,0.257666,-0.0432962,0.30150976
0.0470491,1.141414362,0.0437475,0.257694,-0.0419677,0.30130782
0.0468441,1.136441048,0.0446647,0.257734,-0.0398912,0.30112713
0.0466511,1.131758855,0.0456604,0.257787,-0.0371746,0.30097095
0.0464731,1.127440563,0.0467441,0.25785,-0.0338924,0.30084213
0.0463129,1.1235541,0.0479344,0.257924,-0.030084,0.30074302
0.0461731,1.120162542,0.0492365,0.258008,-0.025743,0.30067537
0.0460563,1.117328967,0.050664,0.258099,-0.0209021,0.30064037
0.0459646,1.115104318,0.0522305,0.258197,-0.0156833,0.30063855
0.0458996,1.113527414,0.0539465,0.258298,-0.0102191,0.30066984
0.0458623,1.112622513,0.0558214,0.258403,-0.00464085,0.30073358
0.0458529,1.112394469,0.0578626,0.258508,0.000943802,0.30082855
0.0458714,1.11284328,0.0600664,0.258612,0.00645898,0.30095304
0.0459171,1.113951965,0.062423,0.258715,0.0118145,0.30110488
0.0459889,1.115693838,0.0649157,0.258813,0.0169215,0.30128159
0.0460855,1.118037361,0.0675258,0.258908,0.0216752,0.30148038
0.0462047,1.120929161,0.0702347,0.258997,0.0259794,0.30169828
0.0463442,1.12431344,0.0730272,0.25908,0.0297598,0.30193221
0.0465012,1.128122271,0.0758912,0.259157,0.0329682,0.30217907
0.0466728,1.132285298,0.0788175,0.259228,0.0355865,0.30243579
0.0468561,1.136732169,0.081799,0.259294,0.0376269,0.30269942
0.0470482,1.141392528,0.0848363,0.259354,0.039105,0.30296719
0.0472463,1.146198447,0.0879367,0.25941,0.0400423,0.30323653
0.0474478,1.151086851,0.0911141,0.259461,0.0404679,0.30350513
0.04765,1.155992237,0.0943894,0.259509,0.0403359,0.30377097
0.0478504,1.160853954,0.0977903,0.259555,0.03971,0.30403229
0.0480466,1.16561378,0.101351,0.259599,0.0386982,0.30428768
0.0482371,1.170235323,0.105102,0.259643,0.0373927,0.30453601
0.0484204,1.174682193,0.109074,0.259687,0.0358695,0.30477643
