DataTable 87x3
Time	0.015696000000000	displacement	outputForce	
0.031115	0.298224	0.216527	0	
0.0587727	0.690624	0.0928966	0.406879	
0.0933449	0.933912	0.0460914	0.787429	
0.131374	1.08302	0.149507	1.09568	
0.152118	1.10657	0.167767	1.14364	
0.181504	1.13011	0.170338	1.15145	
0.205704	1.1772	0.217612	1.19794	
0.226448	1.20859	0.250242	1.20991	
0.245462	1.1615	0.218668	1.14958	
0.269663	1.01239	0.0920871	1.0241	
0.28522	0.965304	0.00436309	0.966426	
0.312878	1.02024	-0.049491	1.01386	
0.342264	1.11442	0.0172316	1.14687	
0.368194	1.1929	0.0718801	1.19481	
0.392394	1.15366	0.0446156	1.14129	
0.432152	1.00454	-0.110148	1.02443	
0.451167	0.988848	-0.181267	0.995646	
0.482282	1.02024	-0.219892	1.04198	
0.52204	1.22429	-0.071756	1.20458	
0.542783	1.30277	0.00308913	1.24269	
0.561798	1.24783	0.00822687	1.19676	
0.594641	1.01239	-0.142651	1.03419	
0.613656	0.957456	-0.227946	0.98379	
0.636128	1.02024	-0.243821	1.04125	
0.6707	1.25568	-0.0771768	1.22291	
0.691443	1.3577	0.0216941	1.27234	
0.712187	1.27138	0.0338502	1.21537	
0.739844	1.06733	-0.0672049	1.08	
0.757131	1.00454	-0.13783	1.02265	
0.781331	1.08302	-0.120055	1.09995	
0.810717	1.38125	0.0707968	1.27631	
0.822818	1.43618	0.140348	1.3073	
0.838375	1.34201	0.158201	1.25402	
0.871219	0.933912	-0.061245	1.00176	
0.888505	0.847584	-0.194999	0.902668	
0.912705	0.981	-0.210682	1.00603	
0.940363	1.30277	-0.0152686	1.2469	
0.954192	1.40479	0.0821029	1.31136	
0.973207	1.30277	0.119435	1.26366	
0.99395	1.12226	0.0411824	1.1216	
1.01469	1.02024	-0.0374187	1.04764	
1.03889	1.10657	-0.00766956	1.12696	
1.05791	1.27138	0.0916922	1.23903	
1.07519	1.36555	0.151386	1.25893	
1.09939	1.21644	0.115839	1.16441	
1.11668	1.08302	0.0378652	1.06576	
1.13397	1.02809	-0.0209597	1.0315	
1.15644	1.05948	-0.0259165	1.08297	
1.1841	1.09872	-0.024603	1.1172	
1.21521	1.05163	-0.08504	1.07829	
1.24287	1.09872	-0.0779078	1.11838	
1.27053	1.27922	0.0420767	1.23323	
1.28781	1.3577	0.0868172	1.23865	
1.30856	1.24783	0.0646324	1.16775	
1.32411	1.13011	0.010443	1.0921	
1.3414	1.09872	-0.0232803	1.07554	
1.36387	1.16935	0.0301682	1.16396	
1.38289	1.3734	0.132952	1.26071	
1.39499	1.42049	0.176072	1.27001	
1.40882	1.34986	0.178329	1.22231	
1.43302	1.15366	0.0967076	1.10328	
1.45722	1.00454	-0.00536022	1.0236	
1.49006	1.05163	-0.0324874	1.07256	
1.51945	1.02024	-0.0964882	1.05376	
1.54192	0.957456	-0.188784	0.998944	
1.57131	1.05163	-0.155982	1.10521	
1.58859	1.24783	-0.0305172	1.25426	
1.60588	1.41264	0.07846	1.30961	
1.62143	1.31846	0.0934299	1.24973	
1.64736	1.02809	-0.054443	1.04902	
1.66638	0.886824	-0.180723	0.946806	
1.68712	0.973152	-0.195694	1.02054	
1.71651	1.23998	-0.0401394	1.21779	
1.73207	1.32631	0.0116566	1.24024	
1.74762	1.23214	-0.0146757	1.16461	
1.7701	1.00454	-0.15249	1.00767	
1.78565	0.926064	-0.215588	0.981972	
1.80812	1.01239	-0.19592	1.07805	
1.83578	1.27922	-0.0348538	1.24631	
1.85134	1.3734	0.0180871	1.25574	
1.8669	1.32631	0.03694	1.2249	
1.89628	1.25568	0.0276512	1.16766	
1.91703	1.30277	0.0660316	1.19457	
1.93604	1.34201	0.102927	1.20944	
1.9637	1.23998	0.061669	1.13595	
1.98099	1.08302	-0.0162621	1.04856	
2	1.02809	-0.0544444	1.04921	
